indice_tiempo,estrenos_cine_total,estrenos_film_nacional,estrenos_film_extranjero
1994-01-01,171,,
1995-01-01,178,,
1996-01-01,178,,
1997-01-01,172,,
1998-01-01,214,,
1999-01-01,257,,
2000-01-01,254,,
2001-01-01,228,48,180
2002-01-01,207,42,165
2003-01-01,213,48,165
2004-01-01,234,63,171
2005-01-01,228,58,170
2006-01-01,264,72,192
2007-01-01,292,100,192
2008-01-01,286,72,214
2009-01-01,293,87,206
2010-01-01,350,130,220
2011-01-01,348,133,215
2012-01-01,336,146,190
2013-01-01,386,168,218
2014-01-01,408,173,235
2015-01-01,432,185,247
2016-01-01,446,201,245
2017-01-01,477,223,254
2018-01-01,548,239,309
2019-01-01,494,265,229
2020-01-01,72,28,44